video_id,title,channel_name,publish_date,duration_seconds,category,tags,country,days_since_publish,views,likes,dislikes,comments,subscribers,avg_daily_views,growth_30d,is_trending,virality_label
jubys7IoESA,Beginner's Guide to Gadgets Explained,TechAcademy985,2023-09-28,464,Entertainment,"study,ai,tips,fitness,comedy",CA,684,31169,2978,74,283,100,45.57,0.0915,0,normal
tpe3Ly5KUpR,Review: Budget Travel Full Tutorial,LearnVibes232,2024-10-14,2384,Gaming,"travel,python,finance,music,tips,review",US,302,4133,311,11,46,100,13.69,0.1501,0,normal
Wm1uywRyuuQ,Unboxing: Python Full Tutorial,QuickWorld945,2024-03-28,2379,Travel & Events,"howto,travel,beginner,ai",CA,502,29058,1872,61,436,5916,57.88,0.0305,0,normal
ONOq03H8fwR,The Truth About Cooking Full Tutorial,GlobalReviews907,2021-06-14,3225,Travel & Events,"tips,review,howto,daily,python,beginner",JP,1520,81345,3650,118,1137,100,53.52,0.0382,0,normal
cogFhemJZQe,DIY Budget Travel for Beginners,TechAcademy622,2025-04-17,3258,People & Blogs,"unboxing,beginner,study,ai,python",GB,117,25088,1407,30,439,100,214.43,0.543,0,normal
QkklZHQY3va,Reaction to Python That Works,DailyJourney803,2021-11-15,1615,Science & Technology,"travel,machinelearning,vlog",US,1366,83795,5760,118,642,100,61.34,0.3928,0,normal
W17h40X6Qo0,DIY Cooking Explained,ProReviews993,2022-08-09,1225,Howto & Style,"comedy,machinelearning,finance,howto,investing",AU,1099,62257,2421,207,985,6498,56.65,0.3214,0,normal
6fLXa3zk0lr,Reaction to Python You Need to Know,EasyHub54,2025-04-29,2689,Science & Technology,"travel,daily,unboxing,machinelearning,tutorial",AU,105,13453,920,9,83,1412,128.12,-0.1002,0,normal
9G7qIFWOpdj,Top 10 Gadgets Explained,TopWorld425,2023-12-09,1961,Sports,"cooking,comedy,travel",CA,612,12601,640,26,88,4723,20.59,-0.2307,0,normal
QLr5xYbjnUX,Reaction to Budget Travel Explained,LifeVibes694,2023-11-06,3286,People & Blogs,"investing,comedy,tips",IN,645,23407,1110,35,288,4719,36.29,-0.4797,0,normal
8gFFDsjo1Yt,Review: Stock Market Explained,QuickReviews157,2021-04-02,482,Howto & Style,"machinelearning,unboxing,travel",KR,1593,43722,2200,36,439,100,27.45,-0.2497,0,normal
IuACXNlOyT2,Unboxing: Cooking You Need to Know,QuickLab722,2021-08-30,909,Science & Technology,"howto,motivation,review,music,beginner",DE,1443,43155,2821,52,815,6494,29.91,0.1801,0,normal
02cXxoOo7i2,Top 10 Home Workout That Works,EasyWorld214,2025-01-01,52,People & Blogs,"study,tutorial,finance,vlog,unboxing",JP,223,60176,2678,114,834,13611,269.85,0.074,0,normal
qdz3vQZlNgF,Quick Tips: Gadgets in 10 Minutes,LearnAcademy361,2024-07-01,2101,Education,"tutorial,python,review,cooking",JP,407,20050,1056,32,372,4856,49.26,-0.5,0,normal
9NyRvz4lgi5,The Truth About Budget Travel 2025,SmartGuide841,2020-11-27,2375,Gaming,"howto,review,music,unboxing,cooking,beginner,tips",KR,1719,127081,7605,195,934,34113,73.93,0.1501,0,popular
QMJXlQoaM4j,DIY Smartphones 2025,TopLab588,2023-03-18,606,News & Politics,"cooking,comedy,tips",US,878,29418,1003,96,255,100,33.51,0.1269,0,normal
7lSsgi3p63d,Quick Tips: Cooking Full Tutorial,SmartSpot521,2023-09-19,3111,Sports,"review,travel,tutorial,machinelearning,daily,motivation",FR,693,56543,3482,180,336,10050,81.59,0.3109,0,normal
h1KK9dTNiiL,Why Weight Loss Explained,SmartSpot776,2023-05-06,1549,Travel & Events,"comedy,beginner,fitness,review,music,vlog",US,829,38819,1429,84,307,10535,46.83,0.0805,0,normal
OANwKa3HgOq,Top 10 Cooking for Beginners,LearnJourney456,2025-07-31,1708,Entertainment,"finance,review,beginner,unboxing,fitness,travel",AU,12,83969,3716,138,932,7121,6997.42,-0.129,0,normal
Xa1yZ5bhG6U,Quick Tips: Home Workout You Need to Know,GlobalSpot528,2021-12-01,1722,Science & Technology,"machinelearning,python,beginner",US,1350,67305,2221,255,1089,9552,49.86,-0.1767,0,normal
lQSImCGhSsp,The Truth About Home Workout for Beginners,LearnAcademy252,2023-11-19,1634,Music,"motivation,daily,investing,machinelearning,tips",AU,632,26508,1293,85,148,11727,41.94,-0.5,0,normal
ARVDmyJI9Gp,Review: Stock Market in 10 Minutes,GlobalWorld116,2025-04-03,2781,News & Politics,"beginner,comedy,vlog,machinelearning,motivation,ai",US,131,5992,387,11,62,100,45.74,0.3865,0,normal
yMyd5A6yTyt,Beginner's Guide to Stock Market for Beginners,DailyHub517,2024-05-31,514,Travel & Events,"travel,investing,music,machinelearning,vlog,tutorial",IN,438,88378,3449,238,1261,13501,201.78,-0.1241,0,normal
5igkSfwwfve,DIY AI Tools 2025,TopGuide658,2021-06-15,3264,News & Politics,"investing,howto,vlog,daily",GB,1519,57419,1797,124,720,33814,37.8,-0.1969,0,normal
WWHa7YDJ5wQ,DIY Python Explained,DailyAcademy548,2020-09-24,3525,People & Blogs,"daily,ai,vlog",GB,1783,97910,3056,181,386,21538,54.91,0.6323,0,normal
jFToJgJanlr,Reaction to Python Explained,DailyBytes943,2023-11-21,2095,Music,"motivation,music,daily,review,comedy",DE,630,82569,3802,303,988,100,131.06,0.1978,0,normal
T66y97cL57n,The Truth About Smartphones You Need to Know,LifeAcademy764,2021-10-12,348,Science & Technology,"machinelearning,music,howto,comedy,daily",US,1400,60342,2449,124,933,100,43.1,0.6318,0,normal
GKoIGTYtZ7k,Quick Tips: Home Workout Explained,ProWorld344,2022-03-31,2257,Travel & Events,"comedy,tutorial,fitness,motivation",AU,1230,59365,2893,87,501,100,48.26,0.0536,0,normal
HAFotDcdbpm,The Truth About Budget Travel That Works,ProHub939,2023-01-09,899,Sports,"tutorial,music,comedy,machinelearning,investing,travel",KR,946,21304,913,69,337,100,22.52,-0.5,0,normal
PywWsj9BSCy,Beginner's Guide to Home Workout You Need to Know,EasyLab266,2022-06-13,1597,Education,"python,tutorial,howto,ai,travel,motivation",CA,1156,3456944,227756,1951,24555,100,2990.44,-0.1994,1,viral
HFeBFIyLmaJ,The Truth About Python That Works,TopSpot516,2024-08-01,2928,Sports,"ai,fitness,comedy,travel,review",GB,376,43080,2417,131,530,9016,114.57,0.3778,0,normal
SNrwQuDBWEg,The Truth About Smartphones That Works,ProHub913,2022-10-24,2236,Science & Technology,"howto,comedy,python,finance,investing",KR,1023,22702,809,57,350,100,22.19,0.0619,0,normal
UoFPiEJvhne,Reaction to Budget Travel in 10 Minutes,ProJourney51,2022-01-06,3003,Howto & Style,"machinelearning,tutorial,tips,cooking,ai,travel,python",IN,1314,109521,5742,264,1577,23846,83.35,-0.0136,0,popular
fbgILs9VVRG,How to Study Hacks 2025,ProJourney766,2024-01-12,2369,Sports,"machinelearning,tutorial,investing,python",US,578,15469,1139,52,66,381,26.76,-0.0625,0,normal
YRTaxnr2qZX,DIY Study Hacks 2025,QuickLab16,2022-11-30,137,Howto & Style,"finance,machinelearning,motivation,music,unboxing",CA,986,71982,2827,21,317,24989,73.0,-0.0424,0,normal
gYVxEOfY34N,How to Weight Loss Explained,LifeSpot545,2024-09-22,1223,News & Politics,"motivation,daily,vlog,investing,machinelearning,tips,ai",AU,324,8041,160,5,79,986,24.82,0.3674,0,normal
xSJzyCaoAI3,The Truth About Smartphones You Need to Know,TopSpot801,2023-04-03,2546,Entertainment,"python,beginner,unboxing,music,motivation",BR,862,66067,3536,197,161,2785,76.64,-0.5,0,normal
3RpLahKUQJY,The Truth About Smartphones Explained,SmartHub729,2021-11-09,194,Science & Technology,"tutorial,howto,cooking,tips",CA,1372,61718,4482,119,656,100,44.98,-0.5,0,normal
YY1sdexpgkp,Review: Budget Travel 2025,TopJourney627,2020-10-01,1964,Gaming,"tips,vlog,motivation",JP,1776,143276,6531,366,68,1894,80.67,0.7089,0,popular
8ZU8CSAxoCj,Quick Tips: Smartphones 2025,QuickJourney785,2025-05-15,94,Science & Technology,"howto,review,tutorial,daily",KR,89,25425,1524,28,448,4408,285.67,0.1038,0,normal
4nK9DRfKx9R,Review: Cooking for Beginners,DailyAcademy66,2021-11-01,2953,Sports,"cooking,python,comedy,finance",BR,1380,117379,3917,401,1404,26518,85.06,0.4798,0,popular
f0Yh6d5ASEx,DIY Weight Loss in 10 Minutes,SmartHub282,2023-08-15,1176,Music,"tutorial,fitness,ai,study",FR,728,128788,4431,0,1323,77419,176.91,-0.3874,0,popular
rBNqWe8ykBF,DIY Weight Loss That Works,LearnLab781,2021-03-19,1592,News & Politics,"ai,investing,tips",JP,1607,62200,4534,91,343,100,38.71,-0.1942,0,normal
xBEYIc7LjC4,Top 10 Stock Market Full Tutorial,TopReviews662,2025-03-09,2910,Science & Technology,"review,unboxing,howto,comedy,beginner,travel",FR,156,8013,432,14,81,100,51.37,-0.4241,0,normal
KIDYvf0A6zB,Reaction to Python in 10 Minutes,LifeJourney895,2024-04-11,555,Gaming,"study,beginner,machinelearning",CA,488,42912,2509,109,430,545,87.93,-0.0238,0,normal
